state_fp,county_fp,avg_walkability_index,avg_intersection_density,avg_proximity_to_transit,avg_employment_mix,avg_employment_household_mix,block_groups
8,1,12.0385,107.2633,564.8159,0.5298,0.4499,260
8,3,7.7,43.1841,905.7033,0.5517,0.6224,15
8,5,12.3987,137.7643,598.0625,0.541,0.4515,408
8,7,5.8333,11.4146,NA,0.698,0.5188,10
8,9,5.6667,3.8253,NA,0.6556,0.6168,4
8,11,6.3667,33.4751,789.92,0.5219,0.4561,5
8,13,12.35,92.1793,532.4075,0.6131,0.536,200
8,14,9.4094,109.6462,703.418,0.5825,0.4291,46
8,15,7.3667,37.7114,855.63,0.6802,0.6445,15
8,17,6.1667,0.335,NA,0.7456,0.6882,3
8,19,6.3333,5.2134,409.04,0.6963,0.5255,6
8,21,4.6111,4.522,NA,0.5528,0.5367,6
8,23,5.3333,4.4534,NA,0.5456,0.5358,4
8,25,4.4583,2.051,NA,0.3021,0.6081,4
8,27,4.7083,1.9621,NA,0.6715,0.4538,4
8,29,6.1528,15.5761,305.775,0.5983,0.5287,24
8,31,14.4622,154.303,405.344,0.5643,0.4775,481
8,33,6.4167,2.3388,NA,0.7732,0.633,2
8,35,8.728,81.0181,795.4686,0.6208,0.4925,155
8,37,8.8506,17.3009,318.65,0.723,0.6734,29
8,39,4.5333,3.3373,NA,0.5526,0.4565,15
8,41,11.1137,106.6559,542.6612,0.5786,0.4904,365
8,43,6.5278,44.4611,949.96,0.5121,0.4588,36
8,45,9.1343,49.0727,558.2417,0.6534,0.6359,36
8,47,4.6667,3.6398,NA,0.4945,0.4707,4
8,49,8.1296,10.7705,216.59,0.7278,0.6948,9
8,51,8.7,44.2741,595.7556,0.588,0.6232,20
8,53,6.6667,0.3089,NA,0.946,0.7027,1
8,55,5.1667,4.9036,NA,0.6389,0.4676,7
8,57,6.6667,26.3179,NA,0.6295,0.6733,2
8,59,10.9972,103.2475,607.4149,0.5896,0.5036,410
8,61,6.5,1.3053,NA,0.7833,0.6695,2
8,63,6.5208,26.6957,NA,0.6372,0.6791,8
8,65,7.7083,67.9976,NA,0.6713,0.5132,8
8,67,6.6818,29.5869,775.17,0.6739,0.5278,33
8,69,10.3924,77.7774,587.3583,0.5915,0.4993,192
8,71,6.6863,43.8665,NA,0.6091,0.5752,17
8,73,6.3,4.7979,NA,0.7086,0.7318,5
8,75,7.3438,69.5146,NA,0.5481,0.5896,16
8,77,7.6894,74.2971,1011.205,0.5872,0.4874,88
8,79,7.1667,0.3633,NA,0.8602,0.7979,1
8,81,6.5778,54.7664,NA,0.4883,0.5177,15
8,83,6.6591,41.2469,NA,0.6059,0.5994,22
8,85,6.2929,43.0841,756.39,0.54990000000000006,0.4904,33
8,87,6.46,51.651,NA,0.4688,0.5755,25
8,89,8.4833,52.0785,864.0162,0.4754,0.5888,20
8,91,6.375,1.5227,NA,0.7901,0.6901,4
8,93,5,2.9331,NA,0.6616,0.4491,12
8,95,7.25,53.8194,NA,0.6161,0.7137,6
8,97,9.6538,36.3661,445.475,0.6775,0.6785,13
